,Target_Method,Measurement_Nanoseconds,Measurement_Operations,Measurement_Value,Gen_0,Gen_1,Gen_2,Allocated_Bytes,AllocatedKB,heuristic,s,size
50%,,546070700,256,2060.84297,23,23,23,1111182,1085.138671875,,19,20
75%,,946941400,512,2131.75156,46,46,46,1111182,1085.138671875,,29,20
max,,1043012300,512,2330.5375,46,46,46,1111185,1085.1416015625,,39,20
count,600,600,600,600,600,600,600,600,600,600,600,600
unique,1,,,,,,,,,1,,
top,Grass Squares,,,,,,,,,entropy,,
freq,600,,,,,,,,,600,,
mean,,869689450.583333,115.2,7841.9226197,22.4,22.4,22.4,2403403.85,2347.07407226563,,19.5,30
std,,135815245.501882,25.6213600370911,1846.96616277,5.20433875753414,5.20433875753414,5.20433875753414,2.18757303717803,0.00213630179411917,,11.5530279186952,0
min,,417509300,64,6427.51797,12,12,12,2403398,2347.068359375,,0,30
25%,,859048675,128,6858.48867,25,25,25,2403402,2347.072265625,,9.75,30
50%,,885543500,128,7325.616405,25,25,25,2403405,2347.0751953125,,19.5,30
75%,,966804225,128,7748.878125,25,25,25,2403405,2347.0751953125,,29.25,30
max,,1009709000,128,15545.37656,25,25,25,2403409,2347.0791015625,,39,30
count,570,570,570,570,570,570,570,570,570,570,570,570
unique,1,,,,,,,,,1,,
top,Normal Squares,,,,,,,,,MRV,,
freq,570,,,,,,,,,570,,
mean,,753247421.140351,512,1471.18636963158,206.210526315789,182.815789473684,168.210526315789,3749693.94736842,3661.81049547697,,19.2105263157895,10
std,,23086317.7177913,0,45.0904643874376,0.922989757025178,1.46767028109826,0.922989757025178,111.598927411465,0.108983327550259,,11.7265817068499,0
min,,701390500,512,1369.90332,203,180,165,3749435,3661.5576171875,,0,10
25%,,738703350,512,1442.7799825,206,182,168,3749615,3661.7333984375,,9,10
50%,,750302950,512,1465.43545,206,183,168,3749719.5,3661.83544921875,,18.5,10
75%,,766504875,512,1497.0798325,207,184,169,3749782,3661.896484375,,29,10
max,,916557900,512,1790.15215,208,186,170,3749852,3661.96484375,,39,10
count,585,585,585,585,585,585,585,585,585,585,585,585
unique,1,,,,,,,,,1,,
top,Normal Squares,,,,,,,,,MRV,,
freq,585,,,,,,,,,585,,
mean,,881289331.282051,119.794871794872,7383.08881611966,90.2307692307692,78.6666666666667,65.025641025641,14132561.1282051,13801.3292267628,,19.2307692307692,20
std,,151236623.387417,21.4146675751717,323.928315007897,16.2152603454787,14.0747758443427,11.5334991085093,154.294713244817,0.150678430903142,,11.5756776003511,0
min,,444781200,64,6797.18672,48,42,35,14132217,13800.9931640625,,0,20
25%,,900564000,128,7143.66406,96,84,69,14132431,13801.2021484375,,9,20
50%,,927614100,128,7321.87266,96,84,69,14132570,13801.337890625,,19,20
75%,,952332300,128,7564.13516,97,84,70,14132671,13801.4365234375,,29,20
max,,1055587700,128,8346.74453,97,85,70,14132910,13801.669921875,,39,20
count,600,600,600,600,600,600,600,600,600,600,600,600
unique,1,,,,,,,,,1,,
top,Normal Squares,,,,,,,,,MRV,,
freq,600,,,,,,,,,600,,
mean,,622795852,32,19462.37037745,36,33,22,31435563.175,30698.7921630859,,19.5,30
std,,31193231.3860647,0,974.788480854375,0,0,0,151.621434744971,0.148067807368136,,11.5530279186952,0
min,,564754100,32,17648.56563,36,33,22,31435472,30698.703125,,0,30
25%,,597786825,32,18680.8382825,36,33,22,31435501.75,30698.7321777344,,9.75,30
50%,,628511650,32,19640.989065,36,33,22,31435506,30698.736328125,,19.5,30
75%,,645818750,32,20181.8359375,36,33,22,31435511,30698.7412109375,,29.25,30
max,,711026300,32,22219.57188,36,33,22,31436000,30699.21875,,39,30
count,570,570,570,570,570,570,570,570,570,570,570,570
unique,1,,,,,,,,,1,,
top,Basic,,,,,,,,,MRV,,
freq,570,,,,,,,,,570,,
mean,,685669963.333333,4096,167.399893140351,47,9,0,122423,119.5537109375,,19.2105263157895,10
std,,28171906.5866616,0,6.87790671174326,0,0,0,0,0,,11.7265817068499,0
min,,615680300,4096,150.31257,47,9,0,122423,119.5537109375,,0,10
25%,,659770400,4096,161.076755,47,9,0,122423,119.5537109375,,9,10
50%,,687264150,4096,167.7891,47,9,0,122423,119.5537109375,,18.5,10
75%,,709616850,4096,173.2463,47,9,0,122423,119.5537109375,,29,10
max,,742872300,4096,181.36531,47,9,0,122423,119.5537109375,,39,10
count,585,585,585,585,585,585,585,585,585,585,585,585
unique,1,,,,,,,,,1,,
top,Basic,,,,,,,,,MRV,,
freq,585,,,,,,,,,585,,
mean,,754085044.615385,800.820512820513,970.452020700855,27.1538461538462,8.38461538461539,0,357660.743589744,349.278069911859,,19.2307692307692,20
std,,186752684.29234,254.104680436232,108.783761659682,8.93336767158628,2.97778922386209,0,0.898570460507892,0.000877510215339739,,11.5756776003511,0
min,,488423000,512,781.80439,17,5,0,357660,349.27734375,,0,20
25%,,560909800,512,877.275,17,5,0,357660,349.27734375,,9,20
50%,,832072600,1024,961.25352,35,11,0,357660,349.27734375,,19,20
75%,,938481000,1024,1053.33691,35,11,0,357662,349.279296875,,29,20
max,,1004679200,1024,1185.53047,35,11,0,357662,349.279296875,,39,20
count,600,600,600,600,600,600,600,600,600,600,600,600
unique,1,,,,,,,,,1,,
top,Basic,,,,,,,,,MRV,,
freq,600,,,,,,,,,600,,
mean,,721395878.333333,201.6,3711.52960598333,16.125,8.35,3.525,749796.475,732.223120117188,,19.5,30
std,,171686000.5319,63.3286997104132,509.637639025967,5.28260208685202,2.9311805982401,1.36105195984417,22.8291039752737,0.0222940468508532,,11.5530279186952,0
min,,497472700,128,2868.81953,10,5,2,749742,732.169921875,,0,30
25%,,543247625,128,3227.36299,10,5,2,749786,732.212890625,,9.75,30
50%,,756428750,256,3834.749415,20,10,4,749794,732.220703125,,19.5,30
75%,,857536175,256,4174.59121,21,11,5,749820,732.24609375,,29.25,30
max,,1022668400,256,4576.12109,21,12,5,749825,732.2509765625,,39,30
count,570,570,570,570,570,570,570,570,570,570,570,570
unique,1,,,,,,,,,1,,
top,Grass Squares,,,,,,,,,MRV,,
freq,570,,,,,,,,,570,,
mean,,607301125.614035,2048,296.533752719298,65,21,0,335817,327.9462890625,,19.2105263157895,10
std,,14408668.2375067,0,7.03548239469291,0,0,0,0,0,,11.7265817068499,0
min,,577590000,2048,282.02637,65,21,0,335817,327.9462890625,,0,10
25%,,596454800,2048,291.2376975,65,21,0,335817,327.9462890625,,9,10
50%,,609776350,2048,297.74236,65,21,0,335817,327.9462890625,,18.5,10
75%,,618978850,2048,302.23577,65,21,0,335817,327.9462890625,,29,10
max,,643738600,2048,314.32549,65,21,0,335817,327.9462890625,,39,10
count,585,585,585,585,585,585,585,585,585,585,585,585
unique,1,,,,,,,,,1,,
top,Grass Squares,,,,,,,,,MRV,,
freq,585,,,,,,,,,585,,
mean,,880111532.820513,485.74358974359,1819.35152295727,71.4615384615385,54.7692307692308,34.5128205128205,1111676.84615385,1085.62192007212,,19.2307692307692,20
std,,134871914.364258,77.7339766608054,94.4194913682515,11.7132831031159,8.7618653556198,5.78675771093433,100.136774219596,0.0977898185738246,,11.5756776003511,0
min,,486060700,256,1649.8584,36,28,17,1111443,1085.3935546875,,0,20
25%,,873922800,512,1733.07148,73,55,34,1111677,1085.6220703125,,9,20
50%,,913828300,512,1819.48555,75,57,36,1111723,1085.6669921875,,19,20
75%,,956453150,512,1901.98086,78,60,39,1111738,1085.681640625,,29,20
max,,1014033400,512,2039.9418,78,62,39,1111762,1085.705078125,,39,20
count,600,600,600,600,600,600,600,600,600,600,600,600
unique,1,,,,,,,,,1,,
top,Grass Squares,,,,,,,,,MRV,,
freq,600,,,,,,,,,600,,
mean,,870141734.833333,128,6797.98230401667,35.9,30.9,15.9,2404368.525,2348.01613769531,,19.5,30
std,,59600459.8606787,0,465.628592686155,0.436253590616218,0.436253590616218,0.436253590616218,21.8333200584479,0.021321601619578,,11.5530279186952,0
min,,778238500,128,6079.98828,34,29,14,2404294,2347.943359375,,0,30
25%,,812007650,128,6343.8097675,36,31,16,2404375,2348.0224609375,,9.75,30
50%,,864781950,128,6756.108985,36,31,16,2404378,2348.025390625,,19.5,30
75%,,929854675,128,7264.4896475,36,31,16,2404378,2348.025390625,,29.25,30
max,,982126700,128,7672.86484,36,31,16,2404378,2348.025390625,,39,30
