,Target,Target_Namespace,Target_Method,Job_Id,Job_OutlierMode,Job_Toolchain,Job_IterationCount,Job_LaunchCount,Job_WarmupCount,Job_Display,Params,Measurement_LaunchIndex,Measurement_IterationMode,Measurement_IterationStage,Measurement_IterationIndex,Measurement_Nanoseconds,Measurement_Operations,Measurement_Value,Gen_0,Gen_1,Gen_2,Allocated_Bytes,AllocatedKB,heuristic,s,size
count,570,570,570,570,570,570,570.0,570.0,570.0,570,570,570.0,570,570,570.0,570.0,570.0,570.0,570.0,570.0,570.0,570.0,570.0,570,570.0,570.0
unique,1,1,1,1,1,1,,,,1,38,,1,1,,,,,,,,,,1,,
top,Benchmark.OriginalModel,Benchmarks,Basic,MediumRun,DontRemove,InProcessNoEmitToolchain,,,,"MediumRun(OutlierMode=DontRemove, Toolchain=InProcessNoEmitToolchain, IterationCount=15, LaunchCount=1, WarmupCount=10)",Heuristic=Entropy&Size=10&s=0,,Workload,Result,,,,,,,,,,entropy,,
freq,570,570,570,570,570,570,,,,570,15,,570,570,,,,,,,,,,570,,
mean,,,,,,,15.0,1.0,10.0,,,0.0,,,8.0,680990563.5087719,4015.157894736842,169.66954710526315,46.05263157894737,8.81578947368421,0.0,122423.0,119.5537109375,,19.210526315789473,10.0
std,,,,,,,0.0,0.0,0.0,,,0.0,,,4.32428869980101,90439851.09788218,492.1752509641672,8.842794799002556,5.767678722236335,1.121493084879287,0.0,0.0,0.0,,11.72658170684986,0.0
min,,,,,,,15.0,1.0,10.0,,,0.0,,,1.0,172124700.0,1024.0,153.67012,11.0,2.0,0.0,122423.0,119.5537109375,,0.0,10.0
25%,,,,,,,15.0,1.0,10.0,,,0.0,,,4.0,655427600.0,4096.0,161.4424825,47.0,9.0,0.0,122423.0,119.5537109375,,9.0,10.0
50%,,,,,,,15.0,1.0,10.0,,,0.0,,,8.0,695114600.0,4096.0,170.31234,47.0,9.0,0.0,122423.0,119.5537109375,,18.5,10.0
75%,,,,,,,15.0,1.0,10.0,,,0.0,,,12.0,724823825.0,4096.0,177.0548575,47.0,9.0,0.0,122423.0,119.5537109375,,29.0,10.0
max,,,,,,,15.0,1.0,10.0,,,0.0,,,15.0,777628900.0,4096.0,189.85081,47.0,9.0,0.0,122423.0,119.5537109375,,39.0,10.0
count,585,585,585,585,585,585,585.0,585.0,585.0,585,585,585.0,585,585,585.0,585.0,585.0,585.0,585.0,585.0,585.0,585.0,585.0,585,585.0,585.0
unique,1,1,1,1,1,1,,,,1,39,,1,1,,,,,,,,,,1,,
top,Benchmark.OriginalModel,Benchmarks,Basic,MediumRun,DontRemove,InProcessNoEmitToolchain,,,,"MediumRun(OutlierMode=DontRemove, Toolchain=InProcessNoEmitToolchain, IterationCount=15, LaunchCount=1, WarmupCount=10)",Heuristic=Entropy&Size=20&s=0,,Workload,Result,,,,,,,,,,entropy,,
freq,585,585,585,585,585,585,,,,585,15,,585,585,,,,,,,,,,585,,
